customerID,churn_proba
7590-VHVEG,0.8064704838732768
5575-GNVDE,0.1122081369751022
3668-QPYBK,0.5127344018001936
7795-CFOCW,0.07917558068408799
9237-HQITU,0.8606359212112749
9305-CDSKC,0.9090050637430156
1452-KIOVK,0.7487149190021074
6713-OKOMC,0.4635998258775488
7892-POOKP,0.792146594435169
6388-TABGU,0.039592825873994486
9763-GRSKD,0.36320083965766914
7469-LKBCI,0.0813153686902298
8091-TTVAX,0.37702449514707403
0280-XJGEX,0.6729633115600273
5129-JLPIS,0.6991231709704073
3655-SNQYZ,0.07437223799049035
8191-XWSZG,0.02812083564425521
9959-WOFKT,0.11363822134570617
4190-MFLUW,0.3275984851546422
4183-MYFRB,0.7765493123816108
8779-QRDMV,0.8769742758801908
1680-VDCWW,0.1622554898844832
1066-JKSGK,0.36794560256673503
3638-WEABW,0.04768801219558212
6322-HRPFA,0.07744161986844506
6865-JZNKO,0.27130278572152194
6467-CHFZW,0.7415348752910157
8665-UTDHZ,0.7378772175447997
5248-YGIJN,0.04401011232984474
8773-HHUOZ,0.5717171571309352
3841-NFECX,0.06877928131015416
4929-XIHVW,0.8838178909869973
6827-IEAUQ,0.07042012472126338
7310-EGVHZ,0.3935790954901302
3413-BMNZE,0.6726243982367638
6234-RAAPL,0.05504741444793226
6047-YHPVI,0.8581505673944659
6572-ADKRS,0.45064117584256697
5380-WJKOV,0.8351271298236334
8168-UQWWF,0.8512136884926164
8865-TNMNX,0.2731899414929689
9489-DEDVP,0.03610615653459023
9867-JCZSP,0.09499727573169076
4671-VJLCL,0.04020350546483721
4080-IIARD,0.5739047222651924
3714-NTNFO,0.6720903085172714
5948-UJZLF,0.5647979222803284
7760-OYPDY,0.8951958898900558
7639-LIAYI,0.0895533752969649
2954-PIBKO,0.016343031375238428
8012-SOUDQ,0.7841446923047622
9420-LOJKX,0.7116378349830514
6575-SUVOI,0.4240112355812062
7495-OOKFY,0.8149991203481393
4667-QONEA,0.0527039681032177
1658-BYGOY,0.9193671200260927
8769-KKTPH,0.25980786903231345
5067-XJQFU,0.41713978685907943
3957-SQXML,0.035697241249488816
5954-BDFSG,0.17670934293249854
0434-CSFON,0.7603186401351733
1215-FIGMP,0.5505876787184417
0526-SXDJP,0.019757669409456235
0557-ASKVU,0.19572810852167533
5698-BQJOH,0.8891780093111782
5122-CYFXA,0.7511265332626613
8627-ZYGSZ,0.4701142496626217
3410-YOQBQ,0.11440237717888785
3170-NMYVV,0.013795743576435732
7410-OIEDU,0.628314371631276
2273-QCKXA,0.4957559193321758
0731-EBJQB,0.049411766432231455
1891-QRQSA,0.152048862836152
8028-PNXHQ,0.015599951205765452
5630-AHZIL,0.4208736649870476
2673-CXQEU,0.4448783133596244
6416-JNVRK,0.14937979865273027
5590-ZSKRV,0.3107292750524895
0191-ZHSKZ,0.601231690283357
3887-PBQAO,0.05542158081565147
5919-TMRGD,0.8759822550575077
8108-UXRQN,0.6611443448247529
9191-MYQKX,0.7386035837746622
9919-YLNNG,0.5475612079364159
0318-ZOPWS,0.023621695833505155
4445-ZJNMU,0.8708888856634563
4808-YNLEU,0.19926302480211375
1862-QRWPE,0.015584156726013687
2796-NNUFI,0.01957732010809758
3016-KSVCP,0.4836301545963471
4767-HZZHQ,0.4710287247510641
2424-WVHPL,0.8177823858751994
7233-PAHHL,0.04092081647549128
6067-NGCEU,0.4447070471010137
9848-JQJTX,0.22643111445597666
8637-XJIVR,0.7745981140346233
9803-FTJCG,0.03486694549757938
0278-YXOOG,0.33002602840302964
3212-KXOCR,0.018695481145317883
4598-XLKNJ,0.8422045997070788
6380-ARCEH,0.3680240420175125
3679-XASPY,0.4149253771103083
7123-WQUHX,0.38702557273907157
5386-THSLQ,0.11589519446349535
3192-NQECA,0.19379308264140657
6180-YBIQI,0.6529555046469254
6728-DKUCO,0.2914647046180294
9750-BOOHV,0.14955156747242335
8597-CWYHH,0.4806822922550024
2848-YXSMW,0.005686268965416603
0486-HECZI,0.5831567250893013
4549-ZDQYY,0.04183172436295261
5712-AHQNN,0.6815756874226503
